04947      ;"PTM04-1129/1127 звери 2в. интеракт./24/";PTM04-1129/1127;0;11040      ;"ИНТЕРАКТИВНАЯ";5.0;%;4.770;USD;48.0;;42.0;44.0;0.1;10.9;24;уп.;d:\foto\04947.jpg;2;"";;
04975      ;"PTM05-1966 ежик 27cm. интеракт./24/";PTM05-1966;0;11040      ;"ИНТЕРАКТИВНАЯ";0;%;3.520;USD;58.0;;42.0;33.0;0.1;8.9;24;уп.;d:\foto\04975.jpg;2;"";;
04946      ;"PTM05-2266 черепаха интеракт./24/";PTM05-2266;0;11040      ;"ИНТЕРАКТИВНАЯ";5.0;%;5.950;USD;62.0;;56.0;34.0;0.1;11.8;24;уп.;d:\foto\04946.jpg;2;"";;
04971      ;"PTM06-3824B/3886/3941/3988-2 звери 4в.23см. интеракт./24/";3824B/3988-2;0;11040      ;"ИНТЕРАКТИВНАЯ";5.0;%;4.510;USD;48.0;;42.0;33.0;0.1;9.1;24;уп.;d:\foto\04971.jpg;2;"";;
04977      ;"PTM06-4012/4013/3973 звери 3в.29cm. интеракт./24/";PTM06-4012/3973;0;11040      ;"ИНТЕРАКТИВНАЯ";5.0;%;5.120;USD;63.0;;54.0;34.0;0.1;11.7;24;уп.;d:\foto\04977.jpg;2;"";;
04628      ;"АКЦИЯ!!!  ВИТРИНА!!!   PTM06-3509/3565 звери 2в. платье интеракт. /24/";06-3509/3565;0;11040      ;"ИНТЕРАКТИВНАЯ";0;%;4.060;USD;50.0;;39.0;30.0;0.1;0;24;уп.;d:\foto\04628.jpg;2;"";;
11041      ;"МУЗЫКАЛЬНАЯ";;1;00004      ;"ИГРУШКИ МЯГКИЕ";0;%;0;;;;;;;;0;;d:\foto\11041.jpg;0;"";;
37207      ;"0751-2 лошадь-копилка муз.19см 3цв.кул./130/";0751-2;0;11041      ;"МУЗЫКАЛЬНАЯ";20.0;%;2.280;USD;60.0;;60.0;50.0;0.2;17.7;130;уп.;d:\foto\37207.jpg;2;"";;
37209      ;"1337-1 лошадь-копилка муз.20см 3цв.кул./180/";1337-1;0;11041      ;"МУЗЫКАЛЬНАЯ";20.0;%;2.190;USD;70.0;;50.0;50.0;0.2;20.5;180;уп.;d:\foto\37209.jpg;2;"";;
37208      ;"1337-2 лошадь-копилка муз.18см 3цв.кул./180/";1337-2;0;11041      ;"МУЗЫКАЛЬНАЯ";20.0;%;2.100;USD;75.0;;60.0;42.0;0.2;20.5;180;уп.;d:\foto\37208.jpg;2;"";;
00656      ;"1410 брелок звери муз./600/";1410;0;11041      ;"МУЗЫКАЛЬНАЯ";20.0;%;0.440;USD;70.0;;50.0;60.0;0.2;32.0;600;уп.;d:\foto\00656.jpg;2;"";;
17449      ;"1413-5 дракончик-копилка 2цв.муз./96/";1413-5;0;11041      ;"МУЗЫКАЛЬНАЯ";20.0;%;3.890;USD;40.0;;60.0;77.0;0.2;20.6;96;уп.;d:\foto\17449.jpg;2;"";;
01569      ;"1467-3 JM-085 собака муз/36/";1467-3 JM-085;0;11041      ;"МУЗЫКАЛЬНАЯ";20.0;%;5.250;USD;72.0;;45.0;48.0;0.2;0;36;уп.;d:\foto\01569.jpg;2;"";;
05018      ;"25226 мышь муз./72/";25226;0;11041      ;"МУЗЫКАЛЬНАЯ";10.0;%;1.940;USD;65.0;;45.0;58.0;0.2;12.0;72;уп.;d:\foto\05018.jpg;2;"";;
06912      ;"6638-2 бык в мешке муз./60/";6638-2;0;11041      ;"МУЗЫКАЛЬНАЯ";10.0;%;5.490;USD;62.0;;44.0;58.0;0.2;25.0;60;уп.;d:\foto\06912.jpg;2;"";;
05010      ;"70072B мышь муз./48/";70072B;0;11041      ;"МУЗЫКАЛЬНАЯ";20.0;%;3.260;USD;65.0;;45.0;58.0;0.2;12.5;48;уп.;d:\foto\05010.jpg;2;"";;
05023      ;"70136 мышь муз./48/";70136;0;11041      ;"МУЗЫКАЛЬНАЯ";20.0;%;3.900;USD;65.0;;45.0;58.0;0.2;12.5;48;уп.;d:\foto\05023.jpg;2;"";;
05022      ;"70138 мышь муз./48/";70138;0;11041      ;"МУЗЫКАЛЬНАЯ";20.0;%;3.610;USD;65.0;;45.0;58.0;0.2;9.0;48;уп.;d:\foto\05022.jpg;2;"";;
07790      ;"70341A бычок с шарфом 2в.2цв.муз./120/";70341A;0;11041      ;"МУЗЫКАЛЬНАЯ";10.0;%;1.970;USD;63.0;;45.0;58.0;0.2;0;120;уп.;d:\foto\07790.jpg;2;"";;
07789      ;"70419С корова-копилка 2цв.муз./42/";70419С;0;11041      ;"МУЗЫКАЛЬНАЯ";10.0;%;3.370;USD;63.0;;45.0;58.0;0.2;0;42;уп.;d:\foto\07789.jpg;2;"";;
01020      ;"GL21485 собака 2 цв. муз./132";GL21485;0;11041      ;"МУЗЫКАЛЬНАЯ";20.0;%;1.900;USD;77.0;;46.0;56.0;0.2;15.0;132;уп.;d:\foto\01020.jpg;2;"";;
01217      ;"GL23541 львенок 22CM муз./78/";GL23541;0;11041      ;"МУЗЫКАЛЬНАЯ";20.0;%;2.600;USD;77.0;;45.0;57.0;0.2;20.0;78;уп.;d:\foto\01217.jpg;2;"";;
01115      ;"GL-68 заяц с цветком 2 цв.2./90/";GL-68;0;11041      ;"МУЗЫКАЛЬНАЯ";20.0;%;2.600;USD;77.0;;46.0;56.0;0.2;13.0;90;уп.;d:\foto\01115.jpg;2;"";;
01370      ;"J049/4 заяц 24см муз./66/";J049/4;0;11041      ;"МУЗЫКАЛЬНАЯ";20.0;%;2.930;USD;77.0;;45.0;57.0;0.2;18.0;66;уп.;d:\foto\01370.jpg;2;"";;
01527      ;"JS04-0080 заяц белый муз/42/";JS04-0080;0;11041      ;"МУЗЫКАЛЬНАЯ";20.0;%;4.160;USD;77.0;;45.0;57.0;0.2;15.4;42;уп.;d:\foto\01527.jpg;2;"";;
01265      ;"JY14003 звери 3 в.муз./72/";JY14003;0;11041      ;"МУЗЫКАЛЬНАЯ";20.0;%;2.140;USD;77.0;;57.0;45.0;0.2;0;72;уп.;d:\foto\01265.jpg;2;"";;
23289      ;"W02-3771 змея-копилка 17см рус.муз./120/";W02-3771;0;11041      ;"МУЗЫКАЛЬНАЯ";20.0;%;3.540;USD;50.0;;60.0;79.0;0.2;18.0;120;уп.;d:\foto\23289.jpg;2;"";;
23290      ;"W02-3772 змея-копилка 17см рус.муз./200/";W02-3772;0;11041      ;"МУЗЫКАЛЬНАЯ";20.0;%;4.030;USD;67.0;;77.0;100.0;0.5;32.9;200;уп.;d:\foto\23290.jpg;3;"";;1
23291      ;"W02-3869 змея-копилка 23см рус.муз /120/";W02-3869;0;11041      ;"МУЗЫКАЛЬНАЯ";20.0;%;3.500;USD;51.0;;82.0;54.0;0.2;20.0;120;уп.;d:\foto\23291.jpg;3;"";;1
23292      ;"W02-3873 змея-копилка 20см рус.муз /150/";W02-3873;0;11041      ;"МУЗЫКАЛЬНАЯ";20.0;%;3.060;USD;80.0;;60.0;50.0;0.2;22.8;150;уп.;d:\foto\23292.jpg;2;"";;
06010      ;"XLM2018С корова 26см муз./48/";2018;0;11041      ;"МУЗЫКАЛЬНАЯ";10.0;%;2.190;USD;63.0;;45.0;58.0;0.2;14.0;48;уп.;d:\foto\06010.jpg;2;"";;
07749      ;"ZY20066 енот муз./96/";ZY20066;0;11041      ;"МУЗЫКАЛЬНАЯ";20.0;%;2.840;USD;65.0;;45.0;57.0;0.2;0;96;уп.;d:\foto\07749.jpg;2;"";;
04646      ;"ZY20492 заяц с корзинкой 2цвет.муз.20cm /72/";20492;0;11041      ;"МУЗЫКАЛЬНАЯ";20.0;%;3.010;USD;65.0;;45.0;57.0;0.2;12.0;72;уп.;d:\foto\04646.jpg;2;"";;
07750      ;"ZY22028 крокодил Гена муз./120/";ZY22028;0;11041      ;"МУЗЫКАЛЬНАЯ";20.0;%;2.090;USD;65.0;;45.0;57.0;0.2;0;120;уп.;d:\foto\07750.jpg;2;"";;
07752      ;"ZY27718 корова-копилка с цветком 2цв.муз./48/";ZY27718;0;11041      ;"МУЗЫКАЛЬНАЯ";10.0;%;3.060;USD;65.0;;45.0;57.0;0.2;0;48;уп.;d:\foto\07752.jpg;2;"";;
11046      ;"РАЗНАЯ";;1;00004      ;"ИГРУШКИ МЯГКИЕ";0;%;0;;;;;;;;0;;d:\foto\11046.jpg;0;"";;
01389      ;"1014-7 звери 3 в.0110 27см/60/";1014-7(0110);0;11046      ;"РАЗНАЯ";20.0;%;4.330;USD;70.0;;45.0;58.0;0.2;17.0;60;уп.;d:\foto\01389.jpg;2;"";;
07820      ;"1186 слон в рубашке /54/";1186;0;11046      ;"РАЗНАЯ";20.0;%;4.320;USD;65.0;;44.0;58.0;0.2;0;54;уп.;d:\foto\07820.jpg;2;"";;
01390      ;"129-13-1 мать и дети 6в./48/";129-13-1;0;11046      ;"РАЗНАЯ";20.0;%;3.060;USD;50.0;;70.0;60.0;0.2;0;48;уп.;d:\foto\01390.jpg;2;"";;
06955      ;"1361 бык в очках BZ-002 /48/";1361 BZ-002;0;11046      ;"РАЗНАЯ";20.0;%;5.730;USD;77.0;;45.0;63.0;0.2;27.0;48;уп.;d:\foto\06955.jpg;2;"";;
01487      ;"1393-1 Тигр и леопард /60/";1393-1;0;11046      ;"РАЗНАЯ";20.0;%;4.030;USD;80.0;;70.0;50.0;0.3;23.0;60;уп.;d:\foto\01487.jpg;2;"";;
06921      ;"1648-1 лев симба /60/";1648-1;0;11046      ;"РАЗНАЯ";20.0;%;5.420;USD;70.0;;90.0;60.0;0.4;20.0;60;уп.;d:\foto\06921.jpg;2;"";;
08500      ;"1648-6 мышь Рататуй /120/";1648-6;0;11046      ;"РАЗНАЯ";20.0;%;3.940;USD;90.0;;60.0;70.0;0.4;26.5;120;уп.;d:\foto\08500.jpg;2;"";;
07791      ;"25693 цветок в горшке 20см/96/";25693;0;11046      ;"РАЗНАЯ";20.0;%;2.430;USD;63.0;;45.0;58.0;0.2;0;96;уп.;d:\foto\07791.jpg;2;"";;
01489      ;"5F09 медведь /50/";5F09;0;11046      ;"РАЗНАЯ";20.0;%;4.520;USD;67.0;;48.0;48.0;0.2;24.0;50;уп.;d:\foto\01489.jpg;2;"";;
